locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
42643,Cotocollao,Quito,EC,2021-01-01T01:00:00+00:00,2021-01-01T00:00:00-01:00,so2,8.268.575.126,ppm,-11.072,-7.849.953
42642,Centro,Quito,EC,2021-01-01T01:00:00+00:00,2021-01-01T00:00:00-01:00,so2,8.208.348.623,ppm,-2.215,-7.851.413
42642,Centro,Quito,EC,2021-01-01T01:00:00+00:00,2021-01-01T00:00:00-01:00,pm25,33.282,Âµg/mÂ³,-2.215,-7.851.413
42645,Guamani,Quito,EC,2021-01-01T01:00:00+00:00,2021-01-01T00:00:00-01:00,so2,2.711.370.971,ppm,-33.428,-785.534
42645,Guamani,Quito,EC,2021-01-01T01:00:00+00:00,2021-01-01T00:00:00-01:00,pm25,65.787,Âµg/mÂ³,-33.428,-785.534
42641,Carapungo,Quito,EC,2021-01-01T01:00:00+00:00,2021-01-01T00:00:00-01:00,pm10,2.885.354,Âµg/mÂ³,-9.548,-7.844.988
42644,El Camal,Quito,EC,2021-01-01T01:00:00+00:00,2021-01-01T00:00:00-01:00,pm25,67.612,Âµg/mÂ³,-25.192,-7.851.713
42648,Tumbaco,Quito,EC,2021-01-01T01:00:00+00:00,2021-01-01T00:00:00-01:00,pm25,10.388,Âµg/mÂ³,-21.484,-7.840.326
42641,Carapungo,Quito,EC,2021-01-01T01:00:00+00:00,2021-01-01T00:00:00-01:00,so2,8.148.488.716,ppm,-9.548,-7.844.988
